alias,code,vendor_type,vendor_code,vendor_country_code,language
巴彦淖尔,CHN015008000,citsae,RLK,CN,zh_cn
沈阳,CHN021001000,citsae,SHE,CN,zh_cn
秦皇岛,CHN013003000,citsae,SHP,CN,zh_cn
沙市,CHN042010000,citsae,SHS,CN,zh_cn
西安,CHN061001000,citsae,SIA,CN,zh_cn
石家庄,CHN013001000,citsae,SJW,CN,zh_cn
汕头,CHN044052000,citsae,SWA,CN,zh_cn
三亚,CHN046002000,citsae,SYX,CN,zh_cn
日照,CHN037011000,citsae,00F,CN,zh_cn
塔城,CHN065042000,citsae,TCG,CN,zh_cn
腾冲,CHN053005022,citsae,TCZ,CN,zh_cn
铜仁,CHN052022001,citsae,TEN,CN,zh_cn
通辽,CHN015005000,citsae,TGO,CN,zh_cn
天水,CHN062005000,citsae,THQ,CN,zh_cn
吐鲁番,CHN065021000,citsae,TLQ,CN,zh_cn
济南,CHN037001000,citsae,TNA,CN,zh_cn
通化,CHN022005000,citsae,TNH,CN,zh_cn
天津,CHN012000000,citsae,TSN,CN,zh_cn
唐山,CHN013002000,citsae,TVS,CN,zh_cn
太原,CHN014001000,citsae,TYN,CN,zh_cn
乌鲁木齐,CHN065001000,citsae,URC,CN,zh_cn
潍坊,CHN037007000,citsae,WEF,CN,zh_cn
威海,CHN037010000,citsae,WEH,CN,zh_cn
文山,CHN053026000,citsae,WNH,CN,zh_cn
温州,CHN033003000,citsae,WNZ,CN,zh_cn
乌海,CHN015003000,citsae,WUA,CN,zh_cn
武汉,CHN042001000,citsae,WUH,CN,zh_cn
武夷山,CHN035007082,citsae,WUS,CN,zh_cn
梧州,CHN045004000,citsae,WUZ,CN,zh_cn
万县,CHN050001000,citsae,WXN,CN,zh_cn
锡林浩特,CHN015025002,citsae,XIL,CN,zh_cn
厦门,CHN035002000,citsae,XMN,CN,zh_cn
西宁,CHN063001000,citsae,XNN,CN,zh_cn
徐州,CHN032003000,citsae,XUZ,CN,zh_cn
宜宾,CHN051015000,citsae,YBP,CN,zh_cn
运城,CHN014008000,citsae,00J,CN,zh_cn
阿尔山,CHN015022002,citsae,YIE,CN,zh_cn
宜昌,CHN042005000,citsae,YIH,CN,zh_cn
依兰,CHN023001023,citsae,YLN,CN,zh_cn
延吉,CHN022024001,citsae,YNJ,CN,zh_cn
烟台,CHN037006000,citsae,YNT,CN,zh_cn
盐城,CHN032009000,citsae,YNZ,CN,zh_cn
元谋,CHN053023028,citsae,YUA,CN,zh_cn
玉树,CHN063027000,citsae,YUS,CN,zh_cn
张掖,CHN062007000,citsae,YZY,CN,zh_cn
昭通,CHN053006000,citsae,ZAT,CN,zh_cn
湛江,CHN044008000,citsae,ZHA,CN,zh_cn
中卫,CHN064005000,citsae,ZHY,CN,zh_cn
张家口,CHN013007000,citsae,ZQZ,CN,zh_cn
珠海,CHN044004000,citsae,ZUH,CN,zh_cn
遵义,CHN052003000,citsae,ZYI,CN,zh_cn
临汾,CHN014010000,citsae,YCU,CN,zh_cn
吕梁,CHN014011000,citsae,018,CN,zh_cn
鄂尔多斯,CHN015006000,citsae,DSN,CN,zh_cn
乌兰察布,CHN015009000,citsae,01J,CN,zh_cn
营口,CHN021008000,citsae,01V,CN,zh_cn
扬州,CHN032010000,citsae,YTY,CN,zh_cn
无锡,CHN032002000,citsae,WUX,CN,zh_cn
金华,CHN033007082,citsae,YIW,CN,zh_cn
黄山,CHN034010000,citsae,TXN,CN,zh_cn
阜阳,CHN034012000,citsae,FUG,CN,zh_cn
宜春,CHN036008081,citsae,JGS,CN,zh_cn
青岛,CHN037002000,citsae,TAO,CN,zh_cn
枣庄,CHN037008000,citsae,JNG,CN,zh_cn
十堰,CHN042003000,citsae,05E,CN,zh_cn
梅州,CHN044014000,citsae,MXZ,CN,zh_cn
稻城（甘孜州）,CHN051033037,citsae,0MS,CN,zh_cn
凉山州,CHN051034001,citsae,XIC,CN,zh_cn
凯里（黔东南）,CHN052026001,citsae,0LP,CN,zh_cn
荔波（黔南州）,CHN052027022,citsae,0LM,CN,zh_cn
六盘水,CHN052002000,citsae,07Z,CN,zh_cn
毕节,CHN052024000,citsae,080,CN,zh_cn
黎平（黔东南）,CHN052026031,citsae,HZH,CN,zh_cn
丽江（含束河）,CHN053007000,citsae,LJG,CN,zh_cn
德宏州,CHN053031000,citsae,LUM,CN,zh_cn
平凉,CHN062010000,citsae,IQN,CN,zh_cn
甘南,CHN062030027,citsae,08O,CN,zh_cn
德令哈,CHN063028002,citsae,094,CN,zh_cn
海西州,CHN063029000,citsae,09D,CN,zh_cn
伊犁,CHN065040002,citsae,YIN,CN,zh_cn
阿勒泰,CHN065043000,citsae,AAT,CN,zh_cn
成都,CHN051001000,citsae,CTU,CN,zh_cn
抚远,CHN023008033,citsae,9EG,CN,zh_cn
宁蒗,CHN053007024,citsae,9HU,CN,zh_cn
