alias,code,vendor_type,vendor_code
Chaozhou,CHN044051000,meiya_air,SWA
Shantou,CHN044005000,meiya_air,SWA
Meizhou,CHN044014000,meiya_air,MXZ
Dehong,CHN053031000,meiya_air,LUM
Fuyuan,CHN023008033,meiya_air,FYJ
Sanming,CHN035004027,meiya_air,SQJ
TuLuFan,CHN065021001,meiya_air,TLQ
HuaTuGou,CHN063029000,meiya_air,HTT
WuLanChaBu,CHN015009000,meiya_air,UCB
GuoLuo,CHN063026000,meiya_air,GMQ
ShiHeZi,CHN065091000,meiya_air,SHF
BaiCheng,CHN022008000,meiya_air,DBC
CangYuan,CHN053009027,meiya_air,CWJ
LanCang,CHN053008028,meiya_air,JMJ
ShangRao,CHN036011021,meiya_air,SQD
ZhaLanTun,CHN015007083,meiya_air,NZL
ChengDe,CHN013008021,meiya_air,CDE
Xian,CHN061001000,meiya_air,SIA
Wulumuqi,CHN065001000,meiya_air,URC
Changsha,CHN043001000,meiya_air,CSX
Nanchang,CHN036001000,meiya_air,KHN
HongKong,CHN081000000,meiya_air,HKG
macau,CHN082000000,meiya_air,MFM
Taipei,CHN071001000,meiya_air,TPE
Kaohsiung,CHN071002000,meiya_air,KHH
Tokyo,JPN000013000,meiya_air,TYO
Seoul,KOR011000000,meiya_air,SEL
Singapore,SGP000000000,meiya_air,SIN
Bangkok,THA000010000,meiya_air,BKK
NewYork,USA0NY000000,meiya_air,NYC
KualaLumpur,MYS0KLKUL000,meiya_air,KUL
Osaka,JPN000027000,meiya_air,OSA
LosAngeles,USA0CALAX000,meiya_air,LAX
Sydney,AUSNSWHBS000,meiya_air,SYD
SanFrancisco,USA0CASFO000,meiya_air,SFO
Vancouver,CAN000VAN000,meiya_air,YVR
Melbourne,AUSVICMEL000,meiya_air,MEL
Jakarta,IDN0000JK000,meiya_air,JKT
Chicago,USA0ILCHI000,meiya_air,CHI
Toronto,CAN000TOR000,meiya_air,YTO
HoChiMinhCity,VNM0000HC000,meiya_air,SGN
Manila,PHL000MNL000,meiya_air,MNL
Bali,IDN0000BA000,meiya_air,DPS
Phuket,THA000001000,meiya_air,HKT
Hanoi,VNM0000HI000,meiya_air,HAN
Male,MDV000MAL000,meiya_air,MLE
Dubai,ARE0000DU000,meiya_air,DXB
Pusan,KOR026000000,meiya_air,PUS
Fukuoka,JPN000040000,meiya_air,FUK
Phnom,KHM000PNH000,meiya_air,PNH
Delhi,GBRNIRDRY000,meiya_air,DEL
JejuIsland,KOR000001000,meiya_air,CJU
Sapporo,JPN000051000,meiya_air,SPK
Istanbul,TUR000IST000,meiya_air,IST
Ulanbatar,MNG000001000,meiya_air,ULN
London,CAN000LOD000,meiya_air,LON
Paris,FRA000PAR000,meiya_air,PAR
Frankfurt,DEU000FFO000,meiya_air,FRA
Moscow,RUS000MOW000,meiya_air,MOW
Rome,USA000RMG000,meiya_air,ROM
Amsterdam,NLD000AMS000,meiya_air,AMS
Milan,ITA000MIL000,meiya_air,MIL
Munich,DEU000MUC000,meiya_air,MUC
Stockholm,SWE0000AB000,meiya_air,STO
Berlin,DEU0000BE000,meiya_air,BER
Manchester,GBRENGMAN000,meiya_air,MAN
Madrid,ESP000MAD000,meiya_air,MAD
Zurich,CHE0000ZH000,meiya_air,ZRH
Brussels,BEL000BRU000,meiya_air,BRU
Copenhagen,DNK000CPH000,meiya_air,CPH
Helsinki,FIN000HEL000,meiya_air,HEL
Vienna,AUT000VDD000,meiya_air,VIE
Barcelona,ESP000BCN000,meiya_air,BCN
Athens,USA0GAAHN000,meiya_air,ATH
Edinburgh,GBRSCTEDH000,meiya_air,EDI
Birmingham,GBRENGBIR000,meiya_air,BHX
Newcastle,AUSNSWNTL000,meiya_air,NCL
Geneva,CHE0000GE000,meiya_air,GVA
StPetersburg,RUS000SPE000,meiya_air,LED
Glasgow,USA0MTGGW000,meiya_air,GLA
Kiev,UKR000030000,meiya_air,IEV
Budapest,HUN0000BU000,meiya_air,BUD
Hamburg,DEU0000HH000,meiya_air,HAM
Prague,CZE0000PR000,meiya_air,PRG
Dusseldorf,DEU000DUS000,meiya_air,DUS
Seattle,USA0WASEA000,meiya_air,SEA
Washington,USA0PAWSG000,meiya_air,WAS
Boston,USA0MABZD000,meiya_air,BOS
Detroit,USA0MIDET000,meiya_air,DTT
Atlanta,USA0GATAT000,meiya_air,ATL
Houston,USA0TXHOU000,meiya_air,HOU
Montreal,CAN000MTR000,meiya_air,YMQ
Honolulu,USA0HIHNL000,meiya_air,HNL
Dallas,USA0TXDAL000,meiya_air,DFW
Minneapolis,USA0MNMES000,meiya_air,MSP
Philadelphia,USA0PAPHL000,meiya_air,PHL
SaintPaul,BRA0000SP000,meiya_air,STP
Ottawa,CAN000OTT000,meiya_air,YOW
MexicoCity,MEX000MEX000,meiya_air,MEX
LasVegas,USA0NVLAS000,meiya_air,LAS
Miami,USA0FLMIA000,meiya_air,MIA
Denver,USA0CODEN000,meiya_air,DEN
