alias,code,vendor_type
Calvi,FRA000008000,ctrip_air
Metz Nancy,FRA000009000,ctrip_air
Grenoble,FRA000010000,ctrip_air
Lannion,FRA000011000,ctrip_air
Lorient,FRA000012000,ctrip_air
Mulhouse,FRA000013000,ctrip_air
Annecy,FRA000014000,ctrip_air
Perpignan,FRA000015000,ctrip_air
Wave city,FRA000016000,ctrip_air
Rhodes,FRA000017000,ctrip_air
Toulon,FRA000018000,ctrip_air
Inverness,GBR000005000,ctrip_air
Eindhove,NLD000002000,ctrip_air
Humberside,GBR000006000,ctrip_air
Liz,GBR000007000,ctrip_air
Trondheim,NOR000023000,ctrip_air
Sandfiya de,NOR000024000,ctrip_air
Perm,RUS000PER000,ctrip_air
Angers,FRA000019000,ctrip_air
Brest,FRA000020000,ctrip_air
Limoges,FRA000LIG000,ctrip_air
Le Mans,FRA000021000,ctrip_air
Poitiers,FRA000022000,ctrip_air
Quimper,FRA000023000,ctrip_air
Vigo,ESP000005000,ctrip_air
Victoria,CAN000VIC000,ctrip_air
Obaldia,PAN000001000,ctrip_air
Dalaman,TUR000001000,ctrip_air
Van,TUR000002000,ctrip_air
Samli UFA,TUR000003000,ctrip_air
Malatya,TUR000004000,ctrip_air
Gaziantep,TUR000GAZ000,ctrip_air
erz,TUR000005000,ctrip_air
Diyarbakir,TUR000DIY000,ctrip_air
Kayseri,TUR000KAY000,ctrip_air
Kenya,TUR000KON000,ctrip_air
Samsun,TUR000SAM000,ctrip_air
Trabzonspor,TUR000TRA000,ctrip_air
Bodrum,TUR000006000,ctrip_air
Denizli,TUR000DEN000,ctrip_air
Ed Mitter,TUR000007000,ctrip_air
Tours,FRA000024000,ctrip_air
Lanzarote,ESP000006000,ctrip_air
Antwerp,BEL000VAN000,ctrip_air
ibiza,ESP000007000,ctrip_air
Kazan,RUS000KZN000,ctrip_air
Le Havre,FRA000025000,ctrip_air
menorca,ESP000008000,ctrip_air
Tasca Luisa,USAAP0010000,ctrip_air
tenerife,ESP000009000,ctrip_air
Hue,VNM000002000,ctrip_air
Nha Trang,VNM000003000,ctrip_air
Kalibo,PHL000001000,ctrip_air
Miyazaki,JPN000045000,ctrip_air
Yuzhno Sakhalinsk,RUS000JSA000,ctrip_air
Boise,USA0IDBOI000,ctrip_air
Nizhny Novgorod,RUS000GOJ000,ctrip_air
Joensuu,FIN000JOE000,ctrip_air
In Jyvaskyla,FIN000001000,ctrip_air
Cagnano,FIN000002000,ctrip_air
Kuusamo,FIN000003000,ctrip_air
Kokkola,FIN000KOK000,ctrip_air
Kittila,FIN000004000,ctrip_air
Cu O Pio,FIN000005000,ctrip_air
Mariehamn,FIN000MHQ000,ctrip_air
Oulu,FIN000OLU000,ctrip_air
Rovaniemi,FIN000006000,ctrip_air
Turku,FIN000TKU000,ctrip_air
Tampere,FIN000TMP000,ctrip_air
Vaasa,FIN000VAA000,ctrip_air
Sokoto,NGA000001000,ctrip_air
Komatsu,JPN000058000,ctrip_air
Li Min,NZL000001000,ctrip_air
Naray,COL000002000,ctrip_air
Kosice,SVK000KOR000,ctrip_air
Timisoara,ROU0000TI000,ctrip_air
Tioman,MYS000006000,ctrip_air
Trapani,ITA000TPS000,ctrip_air
Jackson,USA0MSJAN000,ctrip_air
