code,vendor_type,alias
USA0WIMKE000,standard_air,密尔沃基
USA0KSKCK000,standard_air,堪萨斯城
USA0MOSTL000,standard_air,圣路易斯
USA0OHCVG000,standard_air,辛辛那提
USAAP0001000,standard_air,克里夫兰
USA0LAMSY000,standard_air,新奥尔良
USA0FLORL000,standard_air,奥兰多
USA0FLEYW000,standard_air,基韦斯特
USA0PAPHL000,standard_air,费城
USA0CASBA000,standard_air,圣巴巴拉
USA0AZTUC000,standard_air,图森
USA0TXSAT000,standard_air,圣安东尼奥
GBRENGCAM000,standard_air,剑桥
GBRSCTABD000,standard_air,阿伯丁
ZAF000DUN000,standard_air,邓迪
GBRENGNGM000,standard_air,诺丁汉
MDV000MAL000,standard_air,马累
AUSQLDOOL000,standard_air,黄金海岸
USA0OHDYT000,standard_air,代顿
TUR000IZM000,standard_air,伊兹密尔
TUR000ANT000,standard_air,安塔利亚
TUR000ANK000,standard_air,安卡拉
THA000002000,standard_air,苏梅岛
PRT000LIS000,standard_air,里斯本
USA0TNMEM000,standard_air,孟菲斯
IND000MAA000,standard_air,金奈
USA0MNMES000,standard_air,明尼阿波利斯
PHL000CEB000,standard_air,宿务
ITA000BLQ000,standard_air,博洛尼亚
USA0GACZX000,standard_air,哥伦布
CAN000001000,standard_air,哈里法克斯
AUS0SAADL000,standard_air,阿德莱德
CAN000EDM000,standard_air,埃德蒙顿
DEU000HAJ000,standard_air,汉诺威
MYS0PGKUA000,standard_air,关丹
CRI0000SJ000,standard_air,圣何塞
MEX000ACA000,standard_air,阿卡普尔科
MEX000GDL000,standard_air,瓜达拉哈拉
BOL000LPB000,standard_air,拉巴斯
BRA000BSB000,standard_air,巴西利亚
BRA000001000,standard_air,马瑙斯
BRA000002000,standard_air,累西腓
ITA000NAP000,standard_air,那不勒斯
ITA000TRN000,standard_air,都灵
MLT000000000,standard_air,马耳他
ITA000PMF000,standard_air,帕尔马
ESP000AGP000,standard_air,马拉加
GBRENGBIR000,standard_air,伯明翰
DZA000ALG000,standard_air,阿尔及尔
GIN000CNK000,standard_air,科纳克里
RWA0000KV000,standard_air,基加利
ZAF000DUR000,standard_air,德班
SDN000KRT000,standard_air,喀土穆
TUN000000000,standard_air,突尼斯
JOR0000AM000,standard_air,安曼
RUS000OMS000,standard_air,鄂木斯克
JPN000044000,standard_air,大分
KOR027000000,standard_air,大邱
GBRENGNCL000,standard_air,纽卡斯尔
USA0FLJAX000,standard_air,杰克逊维尔
USA0ININD000,standard_air,印第安纳波利斯
USAAP0002000,standard_air,路易斯威尔
ESP000ALC000,standard_air,阿利坎特
FRA000MPL000,standard_air,蒙彼利埃
GBR000002000,standard_air,达勒姆提斯瓦雷
DEU000LEJ000,standard_air,莱比锡
NZL000DUD000,standard_air,达尼丁
USA0NYFFO000,standard_air,布法罗
ESP000003000,standard_air,阿斯图里亚斯
ITA000PSA000,standard_air,比萨
BIH000FSA000,standard_air,萨拉热窝
ESP000SVQ000,standard_air,塞维利亚
ESP000004000,standard_air,瓦伦西亚
CYP000007000,standard_air,埃阿坎
FRA000001000,standard_air,斯特拉斯堡
IND000BLR000,standard_air,班加罗尔
VNM000001000,standard_air,岘港
BGD000CGP000,standard_air,吉大港
DEU0000HB000,standard_air,不来梅
MAR000MRK000,standard_air,马拉喀什
FRA000TLS000,standard_air,图卢兹
IND000002000,standard_air,提鲁瓦南萨普拉姆
IND000003000,standard_air,海得拉巴
IND000004000,standard_air,库奇
KHM000REP000,standard_air,暹粒
MYS000001000,standard_air,亚罗士打
MYS0PKIPH000,standard_air,怡保
MYS0JHJHB000,standard_air,新山
MYS0KNKBR000,standard_air,哥打巴鲁
IDN000004000,standard_air,巴里巴班
IDN000005000,standard_air,万鸦老
IDN000006000,standard_air,棉兰
MYS000002000,standard_air,拉哈达图
MYS0SBSDK000,standard_air,山打根
MYS0SRBTU000,standard_air,民都鲁
MYS0SRKCH000,standard_air,古晋
MYS000003000,standard_air,拉布安
JPN000056000,standard_air,宫古
MYS0SBTAW000,standard_air,斗湖
IDN000007000,standard_air,坤甸
MYS0SRSBW000,standard_air,泗务
IDN000008000,standard_air,龙目岛
MYS000004000,standard_air,哥打京那巴鲁
ITA000TRS000,standard_air,的里雅斯特
USA0PAAEW000,standard_air,阿伦敦
USAAP0003000,standard_air,圣塔安那
USAAP0004000,standard_air,麦迪逊
CAN000002000,standard_air,基洛纳
USA0FLTPA000,standard_air,坦帕
USA0WAGEG000,standard_air,斯波坎
QAT0000DW000,standard_air,多哈
USAAP0005000,standard_air,莱克星顿
CAN000003000,standard_air,弗雷德里克顿
USAAP0006000,standard_air,波由特
THA000081000,standard_air,甲米
USA0NCRAG000,standard_air,罗利
DEU000KEL000,standard_air,基尔
POL000001000,standard_air,卡托维茨
DEU000001000,standard_air,德雷斯顿
DEU000002000,standard_air,腓特烈斯港
DEU000003000,standard_air,蒙斯特
DEU000AGB000,standard_air,奥格斯堡
DEU000004000,standard_air,帕特泊恩
HRV000001000,standard_air,萨格勒布
ITA000CTA000,standard_air,卡塔尼亚
NFK000000000,standard_air,诺福克
USAAP0007000,standard_air,科罗拉多斯普林
USA0NEOMA000,standard_air,奥马哈
USA0SCCOV000,standard_air,哥伦比亚
ITA000001000,standard_air,里米尼
ITA000AOI000,standard_air,安科纳
ITA000BRI000,standard_air,巴里
ITA000CAG000,standard_air,卡利亚里
ITA000CAX000,standard_air,热那亚
CAN000WNP000,standard_air,温尼伯
USA0CAOAK000,standard_air,奥克兰
USA0IADSM000,standard_air,得梅因
USAAP0008000,standard_air,莫林
USAAP0009000,standard_air,俄克拉何马城
DNK000001000,standard_air,奥尔堡
CAN000SAK000,standard_air,萨斯卡通
AUSTASHBA000,standard_air,霍巴特
POL000WRO000,standard_air,弗罗茨瓦夫
DEU000005000,standard_air,波恩
AUT000003000,standard_air,因斯布鲁克
PHL000DOR000,standard_air,达沃
USA0NCCRQ000,standard_air,夏洛特
USA0MDBAL000,standard_air,巴尔的摩
POL000GDN000,standard_air,格但斯克
FRA000LLE000,standard_air,里尔
POL000POZ000,standard_air,波兹南
GBR000003000,standard_air,诺维奇
IDN000009000,standard_air,巨港
IDN000010000,standard_air,梭罗
VEN00000T000,standard_air,特鲁希略
FRA000002000,standard_air,雷恩 
GBR000004000,standard_air,加帝夫
NOR000022000,standard_air,克里斯蒂安桑
THA000040000,standard_air,孔敬
THA000041000,standard_air,乌隆
THA000003000,standard_air,万伦
THA000004000,standard_air,合艾
THA000092000,standard_air,董里
ECU000001000,standard_air,瓜亚基尔
FRA000NTE000,standard_air,南特
MYS000005000,standard_air,邦咯岛
