code,description,country,state,city,district,abbreviation
NZL000004000,,New Zealand,,Taupo ,,
PRT000001000,,Portugal,,Braga ,,
BHS000001000,,The Bahamas,,Cascais ,,
PRT000002000,,Portugal,,Coimbra ,,
SWE000001000,,Sweden,,Linkoping ,,
SWE000002000,,Sweden,,Malmo ,,
USAAP0045000,,United States of America (USA),,Page ,,
USAAP0046000,,United States of America (USA),,Ontario ,,
CAN000007000,,Canada,,Fort St. John ,,
IND000009000,,India,,Pune ,,
DEU000008000,,Germany,,Hof ,,
CAN000008000,,Canada,,Rouyn ,,
USAAP0047000,,United States of America (USA),,Akron/Canton ,,
USAAP0048000,,United States of America (USA),,Marquette ,,
KOR000002000,,South Korea,,Manzini ,,
GBR000013000,,Great Britain (United Kingdom; England),,Isle Of Man ,,
SWE000003000,,Sweden,,Karlstad ,,
USAAP0049000,,United States of America (USA),,Fort Wayne ,,
HRV000022000,,Croatia,,Dubrovnik ,,
UKR000003000,,Ukraine,,Donetsk ,,
DEU000009000,,Germany,,Erfurt ,,
USAAP0050000,,United States of America (USA),,Savannah ,,
USAAP0051000,,United States of America (USA),,Texarkana ,,
JPN000060000,,Japan,,Matsumoto ,,
CZE000002000,,Czech Republic,,Ostrava ,,
IND000010000,,India,,Vadodara ,,
JPN000061000,,Japan,,Kushiro ,,
USAAP0052000,,United States of America (USA),,Clarksburg ,,
MEX000004000,,Mexico,,Villahermosa ,,
USAAP0053000,,United States of America (USA),,Westchester County ,,
USAAP0054000,,United States of America (USA),,Wanaka ,,
NZL000005000,,New Zealand,,Nelson ,,
USAAP0055000,,United States of America (USA),,Charlottesville ,,
JPN000062000,,Japan,,Ube ,,
USAAP0056000,,United States of America (USA),,Plattsburgh ,,
USAAP0057000,,United States of America (USA),,Appleton ,,
KOR000003000,,South Korea,,Muan ,,
KOR000004000,,South Korea,,Yeosu ,,
USAAP0058000,,United States of America (USA),,Bozeman ,,
USAAP0059000,,United States of America (USA),,Bakersfield ,,
PHL000003000,,The Philippines,,Caticlan ,,
PHL000004000,,The Philippines,,El Nido ,,
AUS000007000,,Australia,,Albury ,,
AUS000008000,,Australia,,Caloundra ,,
AUS000009000,,Australia,,Fremantle ,,
AUS000010000,,Australia,,Strahan ,,
AUS000011000,,Australia,,Margaret River ,,
TUR000008000,,Turkey,,_Del_San Jose ,,
FJI000002000,,Fiji,,Malololailai ,,
FRA000026000,,France,,Colmar ,,
IRN000001000,,Iran,,Isfahan ,,
ITA000006000,,Italy,,Pescara ,,
MMR000001000,,Myanmar (Burma),,Mandalay ,,
PRT000003000,,Portugal,,Portimao ,,
ITA000007000,,Italy,,Olbia ,,
NZL000006000,,New Zealand,,New Plymouth ,,
SWE000004000,,Sweden,,Ornskoldsvik ,,
USAAP0060000,,United States of America (USA),,Monroe ,,
USAAP0061000,,United States of America (USA),,Kalamazoo ,,
IND000011000,,India,,Gaya ,,
RUS000004000,,Russian Federation,,Adler ,,
AUS000012000,,Australia,,Armidale ,,
CAN000009000,,Canada,,Kingston ,,
CYP000008000,,Cyprus,,Nicosia ,,
IRQ000001000,,Iraq,,Erbil ,,
IRN000002000,,Iran,,Mashad ,,
KAZ000001000,,Kazakhstan,,Uralsk ,,
RUS000005000,,Russian Federation,,Ekaterinburg ,,
CMR000001000,,Cameroon,,Yaounde ,,
RUS000006000,,Russian Federation,,Krasnojarsk ,,
RUS000007000,,Russian Federation,,Mineralnye Vody ,,
RUS000008000,,Russian Federation,,Petropavlovsk ,,
RUS000009000,,Russian Federation,,Yakutsk ,,
RUS000010000,,Russian Federation,,Nizhnevartovsk ,,
RUS000011000,,Russian Federation,,Barnaul ,,
USAAP0062000,,United States of America (USA),,Dothan ,,
USAAP0063000,,United States of America (USA),,Chico ,,
CAN000010000,,Canada,,Moncton ,,
USAAP0064000,,United States of America (USA),,Daytona Beach ,,
CAN000011000,,Canada,,Nanaimo ,,
USAAP0065000,,United States of America (USA),,Waterloo ,,
ZAF000001000,,South Africa,,George ,,
SWE000005000,,Sweden,,Ronneby ,,
USAAP0066000,,United States of America (USA),,Aliceville ,,
NAM000001000,,Namibia,,Ai Ais ,,
USAAP0067000,,United States of America (USA),,Atlantic City ,,
SAU000001000,,Saudi Arabia,,Jouf ,,
IRN000003000,,Iran,,Araak ,,
SWE000006000,,Sweden,,Arvidsjaur ,,
MEX000005000,,Mexico,,Abreojos ,,
BRA000006000,,Brazil,,Aracaju ,,
USAAP0068000,,United States of America (USA),,Atka ,,
IND000012000,,India,,Akola ,,
GAB000001000,,Gabon,,Akieni ,,
LBY000003000,,Libya,,Kufrah ,,
PNG000001000,,Papua New Guinea,,Anguganak ,,
SAU000002000,,Saudi Arabia,,Al Kharj ,,
USAAP0069000,,United States of America (USA),,Akiak ,,
JPN000063000,,Japan,,Asahikawa ,,
USAAP0070000,,United States of America (USA),,Akhiok ,,
USAAP0071000,,United States of America (USA),,King Salmon ,,
USAAP0072000,,United States of America (USA),,Akron ,,
USAAP0073000,,United States of America (USA),,Anaktuvuk ,,
IDN000013000,,Indonesia,,Astraksetra ,,
NGA000003000,,Nigeria,,Akure ,,
CYP000009000,,Cyprus,,Akrotiri ,,
CAN000012000,,Canada,,Akulivik ,,
IRN000004000,,Iran,,Aghajari ,,
MMR000002000,,Myanmar (Burma),,Sittwe ,,
USAAP0074000,,United States of America (USA),,Alpine ,,
NOR000026000,,Norway,,Alta ,,
