alias,code,vendor_type
德岛,JPN000054000,ctrip_air
高知,JPN000039000,ctrip_air
石垣,JPN000055000,ctrip_air
静冈,JPN000022000,ctrip_air
里诺,USA0NVRNO000,ctrip_air
埃尔帕索,USA0TXELP000,ctrip_air
奥斯汀,USA0TXAUS000,ctrip_air
密尔沃基,USA0WIMKE000,ctrip_air
堪萨斯城,USA0KSKCK000,ctrip_air
圣路易斯,USA0MOSTL000,ctrip_air
辛辛那提,USA0OHCVG000,ctrip_air
克里夫兰,USAAP0001000,ctrip_air
新奥尔良,USA0LAMSY000,ctrip_air
奥兰多,USA0FLORL000,ctrip_air
基韦斯特,USA0FLEYW000,ctrip_air
费城,USA0PAPHL000,ctrip_air
圣巴巴拉,USA0CASBA000,ctrip_air
图森,USA0AZTUC000,ctrip_air
圣安东尼奥,USA0TXSAT000,ctrip_air
剑桥,GBRENGCAM000,ctrip_air
阿伯丁,GBRSCTABD000,ctrip_air
邓迪,ZAF000DUN000,ctrip_air
诺丁汉,GBRENGNGM000,ctrip_air
马累,MDV000MAL000,ctrip_air
黄金海岸,AUSQLDOOL000,ctrip_air
代顿,USA0OHDYT000,ctrip_air
伊兹密尔,TUR000IZM000,ctrip_air
安塔利亚,TUR000ANT000,ctrip_air
安卡拉,TUR000ANK000,ctrip_air
苏梅岛,THA000002000,ctrip_air
里斯本,PRT000LIS000,ctrip_air
孟菲斯,USA0TNMEM000,ctrip_air
金奈,IND000MAA000,ctrip_air
明尼阿波利斯,USA0MNMES000,ctrip_air
宿务,PHL000CEB000,ctrip_air
博洛尼亚,ITA000BLQ000,ctrip_air
哥伦布,USA0GACZX000,ctrip_air
哈里法克斯,CAN000001000,ctrip_air
阿德莱德,AUS0SAADL000,ctrip_air
埃德蒙顿,CAN000EDM000,ctrip_air
汉诺威,DEU000HAJ000,ctrip_air
关丹,MYS0PGKUA000,ctrip_air
圣何塞,CRI0000SJ000,ctrip_air
阿卡普尔科,MEX000ACA000,ctrip_air
瓜达拉哈拉,MEX000GDL000,ctrip_air
拉巴斯,BOL000LPB000,ctrip_air
巴西利亚,BRA000BSB000,ctrip_air
马瑙斯,BRA000001000,ctrip_air
累西腓,BRA000002000,ctrip_air
那不勒斯,ITA000NAP000,ctrip_air
都灵,ITA000TRN000,ctrip_air
马耳他,MLT000000000,ctrip_air
帕尔马,ITA000PMF000,ctrip_air
马拉加,ESP000AGP000,ctrip_air
伯明翰,GBRENGBIR000,ctrip_air
阿尔及尔,DZA000ALG000,ctrip_air
科纳克里,GIN000CNK000,ctrip_air
基加利,RWA0000KV000,ctrip_air
德班,ZAF000DUR000,ctrip_air
喀土穆,SDN000KRT000,ctrip_air
突尼斯,TUN000000000,ctrip_air
安曼,JOR0000AM000,ctrip_air
鄂木斯克,RUS000OMS000,ctrip_air
大分,JPN000044000,ctrip_air
大邱,KOR027000000,ctrip_air
纽卡斯尔,GBRENGNCL000,ctrip_air
杰克逊维尔,USA0FLJAX000,ctrip_air
印第安纳波利斯,USA0ININD000,ctrip_air
路易斯威尔,USAAP0002000,ctrip_air
阿利坎特,ESP000ALC000,ctrip_air
蒙彼利埃,FRA000MPL000,ctrip_air
达勒姆提斯瓦雷,GBR000002000,ctrip_air
莱比锡,DEU000LEJ000,ctrip_air
达尼丁,NZL000DUD000,ctrip_air
布法罗,USA0NYFFO000,ctrip_air
阿斯图里亚斯,ESP000003000,ctrip_air
比萨,ITA000PSA000,ctrip_air
萨拉热窝,BIH000FSA000,ctrip_air
塞维利亚,ESP000SVQ000,ctrip_air
瓦伦西亚,ESP000004000,ctrip_air
埃阿坎,CYP000007000,ctrip_air
斯特拉斯堡,FRA000001000,ctrip_air
班加罗尔,IND000BLR000,ctrip_air
岘港,VNM000001000,ctrip_air
吉大港,BGD000CGP000,ctrip_air
不来梅,DEU0000HB000,ctrip_air
马拉喀什,MAR000MRK000,ctrip_air
图卢兹,FRA000TLS000,ctrip_air
提鲁瓦南萨普拉姆,IND000002000,ctrip_air
海得拉巴,IND000003000,ctrip_air
库奇,IND000004000,ctrip_air
暹粒,KHM000REP000,ctrip_air
亚罗士打,MYS000001000,ctrip_air
怡保,MYS0PKIPH000,ctrip_air
新山,MYS0JHJHB000,ctrip_air
哥打巴鲁,MYS0KNKBR000,ctrip_air
巴里巴班,IDN000004000,ctrip_air
万鸦老,IDN000005000,ctrip_air
棉兰,IDN000006000,ctrip_air
